cgroup_id,resource_type,container_count,iteration,t_e2e_ms,with_puretime
137706,cpu,8,9,13682,true
137880,cpu,8,10,18417,false
137967,cpu,8,10,11249,false
138054,cpu,8,10,13443,false
138141,cpu,8,10,14090,false
138315,cpu,8,10,14414,false
138402,cpu,8,10,14280,false
138489,cpu,8,10,13937,false
138576,cpu,8,10,13334,false
138750,cpu,8,10,7283,true
138837,cpu,8,10,10023,true
139011,cpu,8,10,16926,true
139098,cpu,8,10,14954,true
139185,cpu,8,10,11230,true
139272,cpu,8,10,11213,true
139359,cpu,8,10,14401,true
139446,cpu,8,10,10405,true
139620,network,1,1,6387,false
139707,network,1,1,6406,true
139794,network,1,2,6393,false
139881,network,1,2,6382,true
139968,network,1,3,6378,false
140055,network,1,3,6384,true
140142,network,1,4,6403,false
140229,network,1,4,6384,true
140316,network,1,5,6365,false
140403,network,1,5,6367,true
140490,network,1,6,6418,false
140577,network,1,6,6396,true
140664,network,1,7,6411,false
140751,network,1,7,6370,true
140838,network,1,8,6382,false
140925,network,1,8,6385,true
141012,network,1,9,6400,false
141099,network,1,9,6401,true
141186,network,1,10,6367,false
141273,network,1,10,6561,true
141360,network,5,1,26014,false
141447,network,5,1,28050,false
141534,network,5,1,28211,false
141621,network,5,1,28107,false
141708,network,5,1,27682,false
141795,network,5,1,26275,true
141882,network,5,1,27766,true
141969,network,5,1,28279,true
142056,network,5,1,28373,true
142143,network,5,1,27653,true
142280,network,5,2,27698,false
142367,network,5,2,28816,false
142454,network,5,2,29621,false
142541,network,5,2,29142,false
142628,network,5,2,28561,false
142715,network,5,2,26381,true
142802,network,5,2,28132,true
142889,network,5,2,28394,true
142976,network,5,2,28174,true
143063,network,5,2,27790,true
143150,network,5,3,26388,false
143237,network,5,3,28181,false
143324,network,5,3,28315,false
143411,network,5,3,28193,false
143498,network,5,3,27777,false
143585,network,5,3,26459,true
143672,network,5,3,28024,true
143759,network,5,3,28412,true
143846,network,5,3,28284,true
143933,network,5,3,27840,true
144020,network,5,4,26483,false
144107,network,5,4,28080,false
144194,network,5,4,28296,false
144281,network,5,4,28139,false
144368,network,5,4,27811,false
144542,network,5,4,26479,true
144629,network,5,4,28084,true
144716,network,5,4,28509,true
144803,network,5,4,28228,true
144890,network,5,4,27782,true
144977,network,5,5,26463,false
145064,network,5,5,28132,false
145151,network,5,5,28250,false
145238,network,5,5,28151,false
145325,network,5,5,27892,false
145412,network,5,5,26449,true
145499,network,5,5,28129,true
145586,network,5,5,28372,true
145673,network,5,5,28180,true
145760,network,5,5,27795,true
145847,network,5,6,26019,false
145934,network,5,6,28587,false
146021,network,5,6,28585,false
146108,network,5,6,28249,false
146195,network,5,6,27847,false
146282,network,5,6,27606,true
146369,network,5,6,28298,true
146456,network,5,6,28362,true
146543,network,5,6,28407,true
146630,network,5,6,28109,true
146717,network,5,7,26465,false
146804,network,5,7,28288,false
146891,network,5,7,28346,false
146978,network,5,7,28225,false
147065,network,5,7,27807,false
147152,network,5,7,26449,true
147239,network,5,7,28185,true
147326,network,5,7,28433,true
147413,network,5,7,28253,true
147500,network,5,7,27834,true
147587,network,5,8,26155,false
147674,network,5,8,28278,false
147761,network,5,8,28271,false
147848,network,5,8,28084,false
147935,network,5,8,27659,false
148022,network,5,8,26360,true
148109,network,5,8,28139,true
148196,network,5,8,28403,true
148283,network,5,8,28212,true
148370,network,5,8,27850,true
148457,network,5,9,26671,false
148544,network,5,9,28236,false
148631,network,5,9,28478,false
148718,network,5,9,28277,false
148805,network,5,9,27917,false
148979,network,5,9,26937,true
149066,network,5,9,28317,true
149153,network,5,9,28438,true
149240,network,5,9,28477,true
149327,network,5,9,28008,true
149414,network,5,10,26367,false
149501,network,5,10,28026,false
149588,network,5,10,28449,false
149675,network,5,10,28166,false
149762,network,5,10,27789,false
149849,network,5,10,26456,true
149936,network,5,10,28175,true
150023,network,5,10,28387,true
150110,network,5,10,28440,true
150197,network,5,10,27910,true
150284,network,8,1,42874,false
150371,network,8,1,43252,false
150458,network,8,1,44695,false
150545,network,8,1,45191,false
150632,network,8,1,45591,false
150719,network,8,1,45442,false
150806,network,8,1,44066,false
150893,network,8,1,44528,false
150980,network,8,1,39803,true
151067,network,8,1,43493,true
151154,network,8,1,44319,true
151241,network,8,1,44794,true
151328,network,8,1,44773,true
151415,network,8,1,44761,true
151502,network,8,1,44307,true
151589,network,8,1,43794,true
151676,network,8,2,40599,false
151763,network,8,2,43912,false
151850,network,8,2,44562,false
151937,network,8,2,44706,false
152024,network,8,2,44931,false
152111,network,8,2,44746,false
152198,network,8,2,44530,false
152285,network,8,2,43957,false
152459,network,8,2,40284,true
152546,network,8,2,43343,true
152633,network,8,2,44344,true
152720,network,8,2,44971,true
152807,network,8,2,45021,true
152894,network,8,2,44683,true
152981,network,8,2,44299,true
153068,network,8,2,43830,true
153155,network,8,3,40204,false
153242,network,8,3,43513,false
153329,network,8,3,44467,false
153416,network,8,3,44999,false
153503,network,8,3,44864,false
153590,network,8,3,44781,false
153677,network,8,3,44365,false
153764,network,8,3,43937,false
153851,network,8,3,39941,true
153938,network,8,3,44234,true
154025,network,8,3,44744,true
154112,network,8,3,45230,true
154199,network,8,3,45457,true
154286,network,8,3,44936,true
154373,network,8,3,44120,true
154460,network,8,3,44032,true
154547,network,8,4,40371,false
154634,network,8,4,43536,false
154721,network,8,4,45218,false
154808,network,8,4,45303,false
154895,network,8,4,45299,false
154982,network,8,4,45250,false
155069,network,8,4,44597,false
155156,network,8,4,44185,false
155243,network,8,4,39677,true
155330,network,8,4,43521,true
155417,network,8,4,44199,true
155504,network,8,4,45011,true
155591,network,8,4,44847,true
155678,network,8,4,44626,true
155765,network,8,4,44308,true
155852,network,8,4,43799,true
155939,network,8,5,40087,false
156026,network,8,5,43797,false
156113,network,8,5,44475,false
156200,network,8,5,44897,false
156287,network,8,5,44886,false
156374,network,8,5,44892,false
156461,network,8,5,44550,false
156548,network,8,5,43912,false
156635,network,8,5,39602,true
156722,network,8,5,43494,true
156809,network,8,5,44253,true
156896,network,8,5,44561,true
156983,network,8,5,44643,true
157070,network,8,5,44446,true
157157,network,8,5,44138,true
157244,network,8,5,43646,true
157331,network,8,6,39837,false
157418,network,8,6,43211,false
157505,network,8,6,44241,false
157592,network,8,6,44808,false
157679,network,8,6,44797,false
157766,network,8,6,44678,false
157853,network,8,6,44218,false
157940,network,8,6,43795,false
158027,network,8,6,40402,true
158114,network,8,6,42671,true
158201,network,8,6,45132,true
158288,network,8,6,45032,true
158375,network,8,6,45085,true
158462,network,8,6,44822,true
158549,network,8,6,44668,true
158636,network,8,6,44255,true
158723,network,8,7,39407,false
158810,network,8,7,43704,false
158897,network,8,7,44121,false
158984,network,8,7,44597,false
159071,network,8,7,44840,false
159158,network,8,7,44929,false
159245,network,8,7,44194,false
159332,network,8,7,43929,false
159419,network,8,7,39736,true
159506,network,8,7,43275,true
159593,network,8,7,44879,true
159680,network,8,7,44641,true
159767,network,8,7,44912,true
159854,network,8,7,44496,true
159941,network,8,7,44515,true
160028,network,8,7,43745,true
160115,network,8,8,40484,false
160202,network,8,8,43839,false
160289,network,8,8,44904,false
160376,network,8,8,45116,false
160463,network,8,8,44918,false
160550,network,8,8,44794,false
160637,network,8,8,44551,false
160724,network,8,8,44060,false
160898,network,8,8,40247,true
160985,network,8,8,43603,true
161072,network,8,8,44663,true
161159,network,8,8,44939,true
161246,network,8,8,45037,true
161333,network,8,8,44585,true
161420,network,8,8,44356,true
161507,network,8,8,43877,true
161594,network,8,9,40050,false
161681,network,8,9,43547,false
161768,network,8,9,44846,false
161855,network,8,9,44914,false
161942,network,8,9,44909,false
162029,network,8,9,44659,false
162116,network,8,9,44350,false
162203,network,8,9,43918,false
162290,network,8,9,40650,true
162377,network,8,9,43080,true
162464,network,8,9,43890,true
162551,network,8,9,45836,true
162638,network,8,9,45261,true
162725,network,8,9,44173,true
162812,network,8,9,44632,true
162899,network,8,9,44029,true
162986,network,8,10,39321,false
163073,network,8,10,43672,false
163160,network,8,10,44642,false
163247,network,8,10,44845,false
163334,network,8,10,44987,false
163421,network,8,10,44664,false
163508,network,8,10,44247,false
163595,network,8,10,43826,false
163682,network,8,10,39974,true
163769,network,8,10,43532,true
163856,network,8,10,44547,true
163943,network,8,10,44888,true
164030,network,8,10,44795,true
164117,network,8,10,44730,true
164204,network,8,10,44286,true
164291,network,8,10,43800,true
164378,block_io,1,1,4570,false
164552,block_io,1,1,4594,true
164726,block_io,1,2,4538,false
164813,block_io,1,2,4592,true
164987,block_io,1,3,4637,false
165161,block_io,1,3,4661,true
165248,block_io,1,4,4545,false
165422,block_io,1,4,4599,true
165596,block_io,1,5,4613,false
165683,block_io,1,5,4557,true
165857,block_io,1,6,4512,false
166031,block_io,1,6,4665,true
166118,block_io,1,7,4660,false
166292,block_io,1,7,4654,true
166466,block_io,1,8,4688,false
166553,block_io,1,8,4513,true
166727,block_io,1,9,4507,false
166901,block_io,1,9,4591,true
166988,block_io,1,10,4635,false
167162,block_io,1,10,4459,true
167336,block_io,8,1,4109,false
167423,block_io,8,1,3822,false
167510,block_io,8,1,5011,false
167597,block_io,8,1,4041,false
167684,block_io,8,1,5238,false
167858,block_io,8,1,4116,false
167945,block_io,8,1,5386,false
168032,block_io,8,1,4752,false
168206,block_io,8,1,3808,true
168293,block_io,8,1,4974,true
168380,block_io,8,1,5144,true
168467,block_io,8,1,4955,true
168554,block_io,8,1,5470,true
168728,block_io,8,1,4193,true
168815,block_io,8,1,5367,true
168902,block_io,8,1,4701,true
169076,block_io,8,2,3884,false
169163,block_io,8,2,5114,false
169250,block_io,8,2,4661,false
169424,block_io,8,2,4115,false
169511,block_io,8,2,5683,false
169598,block_io,8,2,4219,false
169685,block_io,8,2,5866,false
169772,block_io,8,2,5403,false
169946,block_io,8,2,3977,true
170033,block_io,8,2,5175,true
170120,block_io,8,2,5408,true
170294,block_io,8,2,4352,true
170381,block_io,8,2,4842,true
170468,block_io,8,2,5090,true
170555,block_io,8,2,4404,true
170729,block_io,8,2,6161,true
170816,block_io,8,3,4003,false
170990,block_io,8,3,5339,false
171077,block_io,8,3,5341,false
171164,block_io,8,3,3817,false
171251,block_io,8,3,4996,false
171338,block_io,8,3,3807,false
171512,block_io,8,3,5061,false
171599,block_io,8,3,4828,false
171686,block_io,8,3,4139,true
171860,block_io,8,3,5216,true
171947,block_io,8,3,5160,true
172034,block_io,8,3,4259,true
172121,block_io,8,3,5516,true
172208,block_io,8,3,3880,true
172382,block_io,8,3,5323,true
172469,block_io,8,3,5302,true
172556,block_io,8,4,4052,false
172730,block_io,8,4,5323,false
172817,block_io,8,4,5367,false
172904,block_io,8,4,4139,false
172991,block_io,8,4,5255,false
173078,block_io,8,4,3862,false
173252,block_io,8,4,5230,false
173426,block_io,8,4,4820,false
173513,block_io,8,4,3725,true
173687,block_io,8,4,5057,true
173774,block_io,8,4,5223,true
173861,block_io,8,4,4163,true
173948,block_io,8,4,4247,true
174035,block_io,8,4,5382,true
174209,block_io,8,4,4400,true
174296,block_io,8,4,5462,true
174383,block_io,8,5,4059,false
174557,block_io,8,5,4914,false
174644,block_io,8,5,5362,false
174731,block_io,8,5,4646,false
174818,block_io,8,5,5580,false
174905,block_io,8,5,4840,false
175079,block_io,8,5,4601,false
175166,block_io,8,5,6386,false
175340,block_io,8,5,3834,true
175427,block_io,8,5,5051,true
175514,block_io,8,5,5264,true
175601,block_io,8,5,4317,true
175688,block_io,8,5,5260,true
175862,block_io,8,5,4319,true
175949,block_io,8,5,5344,true
176036,block_io,8,5,4992,true
176210,block_io,8,6,3760,false
176297,block_io,8,6,4759,false
