cgroup_id,resource_type,container_count,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu,t_noise_net,t_noise_bio,victim
83631,network,4,10,36576.980927,8618.980813,5.949831,27921.440257,0.04265,s3
84758,block_io,0,1,2355.653106,859.013159,1.367368,0.0,1496.133905,compression
85149,block_io,4,1,6820.421097,3063.522332,1.067358,0.0,3756.359146,compression
85453,block_io,0,2,2399.166447,930.652003,1.581107,0.0,1467.955814,compression
85714,block_io,4,2,6815.863489,3068.586337,1.240352,0.0,3746.693909,compression
86018,block_io,0,3,2369.817976,1074.388535,1.333361,0.0,1295.0496,compression
86409,block_io,4,3,6786.653829,3065.438572,0.981972,0.0,3720.676907,compression
86713,block_io,0,4,2485.86846,889.610307,1.359452,0.0,1595.691893,compression
86974,block_io,4,4,6378.907541,2528.865609,0.724715,0.0,3849.477683,compression
87278,block_io,0,5,2222.191854,913.212088,1.565826,0.0,1308.471595,compression
87669,block_io,4,5,7113.008648,3188.774988,1.323567,0.0,3923.576987,compression
87973,block_io,0,6,2156.57533,907.405948,1.408572,0.0,1248.768216,compression
88364,block_io,4,6,6844.63436,3221.999406,0.92665,0.0,3622.12271,compression
88668,block_io,0,7,2434.983636,1038.517136,1.271017,0.0,1396.093144,compression
88929,block_io,4,7,7280.094378,3178.10812,0.95199,0.0,4101.482394,compression
89233,block_io,0,8,2252.157281,930.243169,0.914617,0.0,1321.529016,compression
89624,block_io,4,8,6798.955216,2978.198623,1.674505,0.0,3820.248506,compression
89928,block_io,0,9,2398.358742,1045.55945,1.596722,0.0,1352.392537,compression
90189,block_io,4,9,7027.466025,3045.001678,0.872533,0.0,3981.935824,compression
90493,block_io,0,10,2370.7853,889.332175,0.986203,0.0,1481.050672,compression
90884,block_io,4,10,7263.028293,3023.174928,0.94032,0.0,4239.303679,compression
