timestamp,resource_type,container_count,iteration,cpu_percent,memory_mb,cpu_ratio_system,mem_ratio_system
1782923038.772862072,uploader,1,18,3.91,70.832,0.1629,0.0752
1782923039.797286045,uploader,1,18,1.95,70.832,0.0813,0.0752
1782923043.538467495,uploader,1,19,2.93,70.8086,0.1221,0.0752
1782923044.561111711,uploader,1,19,1.96,70.8086,0.0817,0.0752
1782923048.314763757,uploader,1,20,3.91,70.832,0.1629,0.0752
1782923049.337913426,uploader,1,20,2.94,70.832,0.1225,0.0752
1782923053.041813968,uploader,1,21,2.93,70.8281,0.1221,0.0752
1782923054.064786849,uploader,1,21,1.96,70.8281,0.0817,0.0752
1782923057.825221279,uploader,1,22,3.91,70.8125,0.1629,0.0752
1782923058.849247203,uploader,1,22,1.96,70.8125,0.0817,0.0752
1782923062.811740146,uploader,1,23,3.91,70.832,0.1629,0.0752
1782923063.835528784,uploader,1,23,1.95,70.832,0.0813,0.0752
1782923067.635859331,uploader,1,24,2.93,70.8242,0.1221,0.0752
1782923068.658696386,uploader,1,24,2.93,70.8242,0.1221,0.0752
1782923072.391040890,uploader,1,25,3.91,70.832,0.1629,0.0752
1782923073.413702639,uploader,1,25,1.96,70.832,0.0817,0.0752
1782923077.186072798,uploader,1,26,3.91,70.8398,0.1629,0.0752
1782923078.208966125,uploader,1,26,2.94,70.8398,0.1225,0.0752
1782923082.051748318,uploader,1,27,3.91,70.8281,0.1629,0.0752
1782923083.074810835,uploader,1,27,2.93,70.8281,0.1221,0.0752
1782923086.766630614,uploader,1,28,2.93,70.8242,0.1221,0.0752
1782923087.788876691,uploader,1,28,2.94,70.8281,0.1225,0.0752
1782923091.712641315,uploader,1,29,3.91,70.7969,0.1629,0.0752
1782923092.735400108,uploader,1,29,2.93,70.7969,0.1221,0.0752
1782923096.618781231,uploader,1,30,3.91,70.8281,0.1629,0.0752
1782923097.641663398,uploader,1,30,1.96,70.8281,0.0817,0.0752
1782923103.314372436,s3,1,1,2.93,70.8398,0.1221,0.0752
1782923104.336963723,s3,1,1,2.94,70.8398,0.1225,0.0752
1782923108.090202185,s3,1,2,3.91,70.8125,0.1629,0.0752
1782923109.113672033,s3,1,2,1.96,70.8164,0.0817,0.0752
1782923112.716881269,s3,1,3,2.93,70.8164,0.1221,0.0752
1782923113.739730964,s3,1,3,1.96,70.8164,0.0817,0.0752
1782923117.421912741,s3,1,4,3.91,70.8398,0.1629,0.0752
1782923118.445137602,s3,1,4,1.96,70.8398,0.0817,0.0752
1782923122.196204297,s3,1,5,2.93,70.8125,0.1221,0.0752
1782923123.219536061,s3,1,5,2.93,70.8125,0.1221,0.0752
1782923127.002223888,s3,1,6,3.91,70.8203,0.1629,0.0752
1782923128.025465905,s3,1,6,1.96,70.8203,0.0817,0.0752
1782923131.707378673,s3,1,7,3.91,70.832,0.1629,0.0752
1782923132.729765106,s3,1,7,2.94,70.832,0.1225,0.0752
1782923136.512262237,s3,1,8,3.91,70.8359,0.1629,0.0752
1782923137.534931842,s3,1,8,1.96,70.8359,0.0817,0.0752
1782923141.267793082,s3,1,9,2.93,70.8242,0.1221,0.0752
1782923142.291354212,s3,1,9,1.95,70.8281,0.0813,0.0752
1782923146.210683498,s3,1,10,3.91,70.8047,0.1629,0.0752
1782923147.234397867,s3,1,10,1.95,70.8047,0.0813,0.0752
1782923150.918089697,s3,1,11,3.91,70.8086,0.1629,0.0752
1782923151.941692539,s3,1,11,1.95,70.8086,0.0813,0.0752
1782923155.621681096,s3,1,12,2.93,70.8008,0.1221,0.0752
1782923156.644178573,s3,1,12,2.94,70.8008,0.1225,0.0752
1782923160.376036088,s3,1,13,3.91,70.8164,0.1629,0.0752
1782923161.398503789,s3,1,13,1.96,70.8164,0.0817,0.0752
1782923165.141147441,s3,1,14,3.91,70.8086,0.1629,0.0752
1782923166.164831226,s3,1,14,1.96,70.8086,0.0817,0.0752
1782923170.037152163,s3,1,15,2.93,70.8047,0.1221,0.0752
1782923171.059938003,s3,1,15,2.93,70.8047,0.1221,0.0752
1782923174.752390602,s3,1,16,3.91,70.8398,0.1629,0.0752
1782923175.775989649,s3,1,16,1.95,70.8398,0.0813,0.0752
1782923179.426172104,s3,1,17,3.91,70.8164,0.1629,0.0752
1782923180.449895646,s3,1,17,1.95,70.8164,0.0813,0.0752
1782923184.242267374,s3,1,18,2.93,70.8359,0.1221,0.0752
1782923185.265259441,s3,1,18,2.93,70.8359,0.1221,0.0752
1782923189.126643142,s3,1,19,3.91,70.8164,0.1629,0.0752
1782923190.149324188,s3,1,19,2.93,70.8164,0.1221,0.0752
1782923193.839945326,s3,1,20,2.93,70.8203,0.1221,0.0752
1782923194.862908991,s3,1,20,1.96,70.8203,0.0817,0.0752
1782923198.526705899,s3,1,21,3.91,70.8398,0.1629,0.0752
1782923199.550191735,s3,1,21,1.96,70.8398,0.0817,0.0752
1782923203.361288315,s3,1,22,3.91,70.8164,0.1629,0.0752
1782923204.385043445,s3,1,22,1.96,70.8164,0.0817,0.0752
1782923208.336901470,s3,1,23,3.91,70.8164,0.1629,0.0752
1782923209.360960472,s3,1,23,1.96,70.8203,0.0817,0.0752
1782923213.041462679,s3,1,24,2.93,70.8203,0.1221,0.0752
1782923214.063740187,s3,1,24,2.94,70.8203,0.1225,0.0752
1782923217.806659658,s3,1,25,3.91,70.8086,0.1629,0.0752
1782923218.829157549,s3,1,25,1.96,70.8086,0.0817,0.0752
1782923222.581702984,s3,1,26,3.91,70.8359,0.1629,0.0752
1782923223.604124619,s3,1,26,2.93,70.8359,0.1221,0.0752
1782923227.317218648,s3,1,27,2.93,70.8398,0.1221,0.0752
1782923228.340980470,s3,1,27,3.91,70.8398,0.1629,0.0752
1782923232.140540954,s3,1,28,3.91,70.8086,0.1629,0.0752
1782923233.164230802,s3,1,28,1.96,70.8086,0.0817,0.0752
1782923236.986599068,s3,1,29,2.93,70.8359,0.1221,0.0752
1782923238.010526531,s3,1,29,2.93,70.8359,0.1221,0.0752
1782923241.841242622,s3,1,30,3.91,70.8359,0.1629,0.0752
1782923242.864138438,s3,1,30,1.96,70.8359,0.0817,0.0752
1782923248.607971801,compression,1,1,1.95,70.8203,0.0813,0.0752
1782923249.633299646,compression,1,1,0.98,70.8398,0.0408,0.0752
1782923253.841400107,compression,1,2,2.93,70.8047,0.1221,0.0752
1782923254.866268155,compression,1,2,0.00,70.8047,0.0000,0.0752
1782923258.758934024,compression,1,3,2.93,70.832,0.1221,0.0752
1782923259.783223317,compression,1,3,0.98,70.832,0.0408,0.0752
1782923263.794106363,compression,1,4,1.95,70.8047,0.0813,0.0752
1782923264.817823530,compression,1,4,0.98,70.8047,0.0408,0.0752
1782923269.035713978,compression,1,5,1.95,70.8203,0.0813,0.0752
1782923270.059801819,compression,1,5,0.98,70.8203,0.0408,0.0752
1782923274.237280044,compression,1,6,1.95,70.8242,0.0813,0.0752
1782923275.262868606,compression,1,6,0.98,70.8242,0.0408,0.0752
1782923279.365276538,compression,1,7,1.95,70.8242,0.0813,0.0752
1782923280.390349931,compression,1,7,0.98,70.8242,0.0408,0.0752
1782923284.501960166,compression,1,8,2.92,70.8398,0.1217,0.0752
1782923285.527849551,compression,1,8,0.00,70.8398,0.0000,0.0752
1782923289.558261246,compression,1,9,0.98,70.8359,0.0408,0.0752
1782923290.583586630,compression,1,9,0.98,70.8359,0.0408,0.0752
1782923294.715936546,compression,1,10,1.95,70.8281,0.0813,0.0752
1782923295.741158224,compression,1,10,0.00,70.8281,0.0000,0.0752
1782923300.027512742,compression,1,11,1.95,70.8398,0.0813,0.0752
1782923301.053052057,compression,1,11,0.98,70.8398,0.0408,0.0752
1782923305.338912304,compression,1,12,1.95,70.8359,0.0813,0.0752
1782923306.363905482,compression,1,12,0.98,70.8359,0.0408,0.0752
1782923310.496403297,compression,1,13,1.95,70.8125,0.0813,0.0752
1782923311.522074966,compression,1,13,0.98,70.8125,0.0408,0.0752
1782923315.523819555,compression,1,14,1.95,70.8398,0.0813,0.0752
1782923316.549050496,compression,1,14,0.98,70.8398,0.0408,0.0752
