timestamp,resource_type,container_count,iteration,cpu_percent,memory_mb,cpu_ratio_system,mem_ratio_system
1782670018.798953044,aes,1,22,2.93,70.832,0.1221,0.0752
1782670022.770212448,aes,1,23,2.93,70.8242,0.1221,0.0752
1782670026.823878779,aes,1,24,2.93,70.8281,0.1221,0.0752
1782670030.847858370,aes,1,25,1.95,70.8398,0.0813,0.0752
1782670034.760276544,aes,1,26,1.95,70.6914,0.0813,0.0751
1782670038.815135654,aes,1,27,2.93,70.8398,0.1221,0.0752
1782670042.788156265,aes,1,28,2.93,70.8125,0.1221,0.0752
1782670046.780087017,aes,1,29,1.95,70.8164,0.0813,0.0752
1782670050.735946474,aes,1,30,2.93,70.8281,0.1221,0.0752
1782670056.708274329,uploader,1,1,3.91,70.8359,0.1629,0.0752
1782670057.730804023,uploader,1,1,1.96,70.8359,0.0817,0.0752
1782670061.575993859,uploader,1,2,2.93,70.8164,0.1221,0.0752
1782670062.598829586,uploader,1,2,2.93,70.8164,0.1221,0.0752
1782670066.272781214,uploader,1,3,1.95,70.832,0.0813,0.0752
1782670067.295730151,uploader,1,3,2.93,70.832,0.1221,0.0752
1782670070.997827724,uploader,1,4,3.91,70.8047,0.1629,0.0752
1782670072.021510469,uploader,1,4,1.95,70.8047,0.0813,0.0752
1782670075.731151057,uploader,1,5,2.93,70.8398,0.1221,0.0752
1782670076.754220805,uploader,1,5,3.91,70.8398,0.1629,0.0752
1782670080.417602172,uploader,1,6,2.93,70.8359,0.1221,0.0752
1782670081.441722284,uploader,1,6,2.93,70.8359,0.1221,0.0752
1782670085.253318527,uploader,1,7,3.91,70.8281,0.1629,0.0752
1782670086.275845541,uploader,1,7,1.96,70.8281,0.0817,0.0752
1782670090.117889856,uploader,1,8,2.93,70.8164,0.1221,0.0752
1782670091.141748152,uploader,1,8,2.93,70.8164,0.1221,0.0752
1782670094.842515662,uploader,1,9,3.91,70.8086,0.1629,0.0752
1782670095.865821706,uploader,1,9,1.96,70.8086,0.0817,0.0752
1782670099.679161780,uploader,1,10,3.91,70.8086,0.1629,0.0752
1782670100.703400386,uploader,1,10,1.95,70.8086,0.0813,0.0752
1782670104.473523290,uploader,1,11,3.91,70.8398,0.1629,0.0752
1782670105.496248108,uploader,1,11,2.94,70.8398,0.1225,0.0752
1782670109.170038383,uploader,1,12,2.93,70.8203,0.1221,0.0752
1782670110.194195960,uploader,1,12,3.91,70.8203,0.1629,0.0752
1782670113.964655689,uploader,1,13,3.91,70.8398,0.1629,0.0752
1782670114.987719026,uploader,1,13,1.96,70.8398,0.0817,0.0752
1782670118.730344451,uploader,1,14,3.91,70.8359,0.1629,0.0752
1782670119.753169498,uploader,1,14,1.96,70.8359,0.0817,0.0752
1782670123.534822007,uploader,1,15,3.91,70.8203,0.1629,0.0752
1782670124.558863498,uploader,1,15,1.95,70.8203,0.0813,0.0752
1782670128.199224705,uploader,1,16,3.91,70.8242,0.1629,0.0752
1782670129.222113900,uploader,1,16,1.96,70.8242,0.0817,0.0752
1782670132.935723540,uploader,1,17,3.91,70.832,0.1629,0.0752
1782670133.958854054,uploader,1,17,1.96,70.8359,0.0817,0.0752
