cgroup_id,resource_type,container_count,iteration,t_e2e_ms,with_puretime
428302,network,8,9,44580,false
428389,network,8,9,44224,false
428476,network,8,9,43818,false
428563,network,8,9,40001,true
428650,network,8,9,44140,true
428737,network,8,9,44945,true
428824,network,8,9,45187,true
428911,network,8,9,45032,true
428998,network,8,9,44899,true
429085,network,8,9,44541,true
429172,network,8,9,44063,true
429259,network,8,10,40183,false
429346,network,8,10,43708,false
429433,network,8,10,44500,false
429520,network,8,10,44944,false
429607,network,8,10,44979,false
429694,network,8,10,45017,false
429781,network,8,10,44373,false
429868,network,8,10,43912,false
430042,network,8,10,39924,true
430129,network,8,10,43303,true
430216,network,8,10,44274,true
430303,network,8,10,45028,true
430390,network,8,10,44762,true
430477,network,8,10,44535,true
430564,network,8,10,44294,true
430651,network,8,10,43812,true
430738,block_io,1,1,3137,false
430912,block_io,1,1,3031,true
430999,block_io,1,2,3126,false
431173,block_io,1,2,3269,true
431260,block_io,1,3,3013,false
431434,block_io,1,3,3047,true
431521,block_io,1,4,3060,false
431695,block_io,1,4,3004,true
431782,block_io,1,5,3069,false
431956,block_io,1,5,3082,true
432043,block_io,1,6,2966,false
432217,block_io,1,6,3181,true
432304,block_io,1,7,3075,false
432478,block_io,1,7,3138,true
432565,block_io,1,8,3282,false
432739,block_io,1,8,2986,true
432826,block_io,1,9,3079,false
433000,block_io,1,9,3173,true
433087,block_io,1,10,3137,false
433261,block_io,1,10,3181,true
433348,block_io,8,1,3751,false
433522,block_io,8,1,6858,false
433609,block_io,8,1,5912,false
433696,block_io,8,1,5958,false
433870,block_io,8,1,6775,false
433957,block_io,8,1,6560,false
434044,block_io,8,1,5367,false
434218,block_io,8,1,4460,false
434305,block_io,8,1,4197,true
434392,block_io,8,1,6552,true
434566,block_io,8,1,5312,true
434653,block_io,8,1,5398,true
434827,block_io,8,1,6940,true
434914,block_io,8,1,7586,true
435001,block_io,8,1,6471,true
435175,block_io,8,1,3416,true
435262,block_io,8,2,4906,false
435349,block_io,8,2,6738,false
435436,block_io,8,2,5334,false
435610,block_io,8,2,7193,false
435697,block_io,8,2,6374,false
435784,block_io,8,2,5215,false
435958,block_io,8,2,6011,false
436045,block_io,8,2,5594,false
436219,block_io,8,2,4420,true
436306,block_io,8,2,6678,true
