victim,input_level,condition,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu
"float",20000000,"solo",8,1795.311897,1795.275137,0.03676
"float",20000000,"stress",8,3330.414257,1836.392447,1494.02181
"float",20000000,"solo",9,1817.592973,1817.198634,0.394339
"float",20000000,"stress",9,5078.725859,1995.947291,3082.778568
"float",20000000,"solo",10,1875.192937,1875.118657,0.07428
"float",20000000,"stress",10,5771.405225,1931.841196,3839.564029
"float",20000000,"solo",11,1830.207702,1830.159311,0.048391
"float",20000000,"stress",11,5897.579026,1907.049057,3990.529969
"float",20000000,"solo",12,1967.207667,1967.130051,0.077616
"float",20000000,"stress",12,5465.474061,1899.642098,3565.831963
"float",20000000,"solo",13,1806.958382,1806.900944,0.057438
"float",20000000,"stress",13,5294.613933,1898.402296,3396.211637
"float",20000000,"solo",14,1827.306436,1827.264889,0.041547
"float",20000000,"stress",14,3592.603464,1883.583934,1709.01953
"float",20000000,"solo",15,1813.661983,1813.618141,0.043842
"float",20000000,"stress",15,4592.51466,1876.954106,2715.560554
"float",20000000,"solo",16,1901.86005,1901.818182,0.041868
"float",20000000,"stress",16,6557.567033,1907.21318,4650.353853
"float",20000000,"solo",17,1862.459314,1862.304132,0.155182
"float",20000000,"stress",17,4511.508094,1842.057758,2669.450336
"float",20000000,"solo",18,1807.080456,1806.881755,0.198701
"float",20000000,"stress",18,5514.59728,1909.794382,3604.802898
"float",20000000,"solo",19,1836.874389,1836.824518,0.049871
"float",20000000,"stress",19,5846.539887,1927.21236,3919.327527
"float",20000000,"solo",20,1847.94381,1847.870503,0.073307
"float",20000000,"stress",20,7496.475239,2114.725625,5381.749614
"float",35000000,"solo",1,2954.952654,2954.891548,0.061106
"float",35000000,"stress",1,6463.42691,3066.583685,3396.832214
"float",35000000,"solo",2,2955.695843,2955.649276,0.046567
"float",35000000,"stress",2,8882.571475,3162.299678,5720.271797
"float",35000000,"solo",3,2960.756935,2960.717352,0.039583
"float",35000000,"stress",3,7809.46204,3158.083636,4651.378404
"float",35000000,"solo",4,2954.072145,2954.034606,0.037539
"float",35000000,"stress",4,8098.409044,3141.827233,4956.581811
"float",35000000,"solo",5,3007.975496,3007.9344,0.041096
"float",35000000,"stress",5,7943.763243,3095.332821,4848.430422
"float",35000000,"solo",6,3079.071163,3079.033622,0.037541
"float",35000000,"stress",6,6397.516537,3021.718064,3375.798473
"float",35000000,"solo",7,3029.895847,3029.504905,0.390942
"float",35000000,"stress",7,8304.461177,3163.990717,5140.451394
"float",35000000,"solo",8,2999.509018,2999.257718,0.223027
"float",35000000,"stress",8,6017.735019,3049.439415,2968.273503
"float",35000000,"solo",9,2998.790536,2998.737776,0.05276
"float",35000000,"stress",9,9178.514196,3068.028194,6110.486002
"float",35000000,"solo",10,2964.677344,2964.634725,0.042619
"float",35000000,"stress",10,7571.376873,3108.479662,4462.874449
"float",35000000,"solo",11,3011.294882,3011.249951,0.044931
"float",35000000,"stress",11,13872.423832,3187.458537,10684.965295
"float",35000000,"solo",12,2977.251517,2977.205301,0.046216
"float",35000000,"stress",12,7179.468124,3100.931706,4078.503366
"float",35000000,"solo",13,2990.901705,2990.85696,0.044745
"float",35000000,"stress",13,6477.410892,3069.935536,3407.475356
"float",35000000,"solo",14,3005.127994,3004.747279,0.380715
"float",35000000,"stress",14,8849.42073,3267.378775,5582.041955
"float",35000000,"solo",15,2999.171519,2999.120303,0.051216
"float",35000000,"stress",15,9350.499478,3146.182998,6204.31648
"float",35000000,"solo",16,3053.30117,3053.269451,0.031719
"float",35000000,"stress",16,6489.37486,3059.457683,3429.917177
"float",35000000,"solo",17,3037.025828,3036.862071,0.163757
"float",35000000,"stress",17,11072.341673,3115.778188,7956.563485
"float",35000000,"solo",18,3090.388,3090.348997,0.039003
"float",35000000,"stress",18,9632.521102,3059.556915,6572.964187
"float",35000000,"solo",19,3054.584503,3054.543287,0.041216
"float",35000000,"stress",19,8117.40562,3076.243926,5041.161694
"float",35000000,"solo",20,3031.591578,3031.549601,0.041977
"float",35000000,"stress",20,5241.352307,2980.727086,2260.625221
"float",50000000,"solo",1,4156.922899,4156.885538,0.037361
"float",50000000,"stress",1,11297.383184,4214.449598,7082.933586
"float",50000000,"solo",2,4184.939139,4184.908062,0.031077
"float",50000000,"stress",2,7884.426296,4149.23722,3735.189076
"float",50000000,"solo",3,4142.518523,4142.462096,0.056427
"float",50000000,"stress",3,11354.262718,4198.560025,7155.600982
"float",50000000,"solo",4,4094.532359,4094.394731,0.069921
"float",50000000,"stress",4,9169.376322,4240.20152,4929.098057
"float",50000000,"solo",5,4109.02921,4108.109917,0.32484
"float",50000000,"stress",5,12771.426406,4220.223021,8551.203385
"float",50000000,"solo",6,4102.056673,4102.021156,0.035517
"float",50000000,"stress",6,11563.353264,4361.746116,7201.607148
"float",50000000,"solo",7,4133.649727,4133.462655,0.187072
"float",50000000,"stress",7,11368.359225,4370.378797,6997.902893
"float",50000000,"solo",8,4083.961264,4083.91077,0.050494
"float",50000000,"stress",8,16021.50023,4370.541539,11650.958691
"float",50000000,"solo",9,4083.299103,4083.247425,0.051678
"float",50000000,"stress",9,13203.387192,4345.526928,8857.860264
"float",50000000,"solo",10,4111.396068,4111.326328,0.06974
"float",50000000,"stress",10,12691.481292,4301.860012,8389.62128
"float",50000000,"solo",11,4122.209489,4121.971172,0.238317
"float",50000000,"stress",11,12289.337578,4254.729735,8034.607843
"float",50000000,"solo",12,4090.688797,4090.644845,0.043952
"float",50000000,"stress",12,8334.60171,4221.043633,4113.558077
"float",50000000,"solo",13,4161.960618,4161.873234,0.087384
"float",50000000,"stress",13,16903.437065,4635.769042,12267.668023
"float",50000000,"solo",14,4181.17216,4181.131984,0.040176
"float",50000000,"stress",14,8401.447325,4194.866773,4206.580552
"float",50000000,"solo",15,4169.489651,4169.442403,0.047248
"float",50000000,"stress",15,13700.701247,4307.088629,9393.612618
"float",50000000,"solo",16,4228.499253,4228.441205,0.058048
"float",50000000,"stress",16,12967.366927,4316.907936,8650.458991
"float",50000000,"solo",17,4112.715962,4112.631754,0.084208
"float",50000000,"stress",17,13376.521009,4300.104954,9076.416055
"float",50000000,"solo",18,4447.443489,4447.393165,0.050324
