victim,input_level,condition,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu
float,9000000,stress,9,3179.737235,1075.48258,2104.254655
float,9000000,solo,10,999.530641,999.469889,0.060752
float,9000000,stress,10,3278.76943,1038.641884,2240.127546
float,9000000,solo,11,1020.32049,1020.274775,0.045715
float,9000000,stress,11,3344.798431,1068.808373,2275.990058
float,9000000,solo,12,1015.907215,1015.865625,0.04159
float,9000000,stress,12,3257.800693,1083.628085,2174.172608
float,9000000,solo,13,1023.024708,1022.996114,0.028594
float,9000000,stress,13,3243.826886,1065.423714,2178.403172
float,9000000,solo,14,1022.213818,1022.176847,0.036971
float,9000000,stress,14,3274.787435,1029.111513,2245.675922
float,9000000,solo,15,1026.273982,1026.23418,0.039802
float,9000000,stress,15,3490.799691,1267.005403,2223.794288
float,9000000,solo,16,1007.717084,1007.678562,0.038522
float,9000000,stress,16,3268.791649,1078.918171,2189.873478
float,9000000,solo,17,1007.480066,1007.441123,0.038943
float,9000000,stress,17,3341.782432,1098.283333,2243.499099
float,9000000,solo,18,994.10933,994.080766,0.028564
float,9000000,stress,18,3271.811943,1108.940625,2162.871318
float,9000000,solo,19,1006.088489,1006.04706,0.041429
float,9000000,stress,19,3199.667716,1048.684759,2150.982957
float,9000000,solo,20,1003.406361,1003.35765,0.048711
float,9000000,stress,20,3259.786473,1019.399752,2240.386721
float,12000000,solo,1,1223.637545,1223.594272,0.043273
float,12000000,stress,1,4191.618145,1298.254481,2893.363664
float,12000000,solo,2,1247.975586,1247.934777,0.040809
float,12000000,stress,2,4193.841695,1272.845949,2920.995746
float,12000000,solo,3,1257.120466,1257.087546,0.03292
float,12000000,stress,3,4283.796998,1314.759945,2969.037053
float,12000000,solo,4,1247.248158,1247.188255,0.059903
float,12000000,stress,4,4244.81048,1351.049771,2893.760709
float,12000000,solo,5,1228.37914,1228.148986,0.230154
float,12000000,stress,5,4128.348914,1286.73017,2841.618744
float,12000000,solo,6,1236.397477,1236.362833,0.034644
float,12000000,stress,6,4243.794105,1332.056063,2911.738042
float,12000000,solo,7,1311.393838,1311.3636,0.030238
float,12000000,stress,7,4161.79002,1318.930316,2842.859704
float,12000000,solo,8,1280.156794,1280.125145,0.031649
float,12000000,stress,8,4141.816672,1281.697502,2860.11917
float,12000000,solo,9,1242.535445,1242.507325,0.02812
float,12000000,stress,9,4144.787112,1245.648405,2899.138707
float,12000000,solo,10,1251.922982,1251.889651,0.033331
float,12000000,stress,10,4180.80647,1310.779957,2870.026513
float,12000000,solo,11,1254.301871,1254.256378,0.045493
float,12000000,stress,11,4150.797929,1325.467501,2825.330428
float,12000000,solo,12,1248.481987,1248.449437,0.03255
float,12000000,stress,12,4226.344797,1314.236425,2912.108372
float,12000000,solo,13,1264.117902,1264.078911,0.038991
float,12000000,stress,13,4066.44995,1252.312331,2814.137619
float,12000000,solo,14,1260.518767,1260.218913,0.299854
float,12000000,stress,14,4219.779906,1287.392262,2932.387644
float,12000000,solo,15,1268.87021,1268.819387,0.050823
float,12000000,stress,15,4259.79435,1324.500459,2935.293891
float,12000000,solo,16,1240.724771,1240.697889,0.026882
float,12000000,stress,16,4133.814178,1327.18882,2806.625358
float,12000000,solo,17,1351.889802,1351.859927,0.029875
float,12000000,stress,17,4217.797046,1265.171759,2952.625287
float,12000000,solo,18,1266.187922,1266.142738,0.045184
float,12000000,stress,18,4298.812704,1345.322608,2953.490096
